CRIMEID,DATE,CRIME_TYPE,LOCATION,NUMBER_OF_VICTIMS
CID0035,2023-06-19,Robbery,Montego Bay, 3 
CID0329,2023-05-17,Assault,Negril, 4 
CID0857,2023-10-05,Burglary,Ocho Rios, 3 
CID0434,2023-03-10,Homicide,Ocho Rios, 3 
CID0323,2023-08-15,Burglary,Port Antonio, 3 
CID0708,2023-11-08,Burglary,Ocho Rios, 4 
CID0832,2023-11-28,Fraud,Negril, 1 
CID0069,2023-12-18,Burglary,Montego Bay, 5 
CID0118,2023-10-14,Fraud,Ocho Rios, 2 
CID0317,2023-09-27,Fraud,Ocho Rios, 3 
CID0662,2023-08-23,Fraud,Kingston, 5 
CID0402,2023-10-18,Assault,Negril, 3 
CID0399,2023-07-24,Homicide,Kingston, 4 
CID0051,2023-09-24,Fraud,Kingston, 1 
CID0104,2023-10-11,Robbery,Negril, 3 
CID0458,2023-08-23,Burglary,Port Antonio, 3 
CID0048,2023-11-21,Homicide,Negril, 2 
CID0597,2023-07-21,Fraud,Negril, 4 
CID0058,2023-01-08,Fraud,Ocho Rios, 2 
CID0426,2023-11-04,Homicide,Port Antonio, 2 
CID0898,2023-03-22,Burglary,Ocho Rios, 1 
CID0786,2023-08-23,Assault,Montego Bay, 4 
CID0676,2023-05-11,Burglary,Port Antonio, 2 
CID0347,2023-02-25,Homicide,Port Antonio, 1 
CID0062,2023-04-19,Homicide,Port Antonio, 4 
CID0571,2023-03-03,Homicide,Kingston, 4 
CID0867,2023-12-04,Burglary,Ocho Rios, 3 
CID0590,2023-11-27,Fraud,Kingston, 2 
CID0737,2023-08-27,Fraud,Montego Bay, 2 
CID0189,2023-03-03,Homicide,Port Antonio, 48 
CID0363,2023-08-15,Assault,Montego Bay, 3 
CID0319,2023-05-07,Homcide,Montego Bay, 2 
CID0711,2023-08-21,Robbery,, 5 
CID0577,2023-08-23,Assault,Montego Bay, 3 
CID0766,2023-04-28,Assault,Ocho Rios, 4 
CID0522,2023-03-21,Burglary,Port Antonio, 1 
CID0379,2023-07-14,Fraud,Montego Bay, 1 
CID0988,08-03-2023,Burglary,Montego Bay, 4 
CID0215,2023-05-06,Robbery,Montego Bay, 1 
CID0134,2023-04-03,Fraud,Montego Bay, 4 
CID0675,2023-02-16,Burglary,Ocho Rios, 1 
CID0509,2023-12-16,Robbery,Kingston, 4 
CID0932,2023-11-03,Assault,Kingston, 3 
CID0388,2023-06-10,Homicide,, 1 
CID0337,2023-04-16,Homicide,Negril, 4 
CID0024,2023-06-04,Burglary,Ocho Rios, 5 
CID0723,2023-05-07,Robbery,Ocho Rios, 5 
CID0921,2023-01-03,Burglary,Ocho Rios, 5 
CID0513,2023-05-04,Robbery,Negril, 1 
CID0441,2023-12-27,Robbery,Ocho Rios, 2 
CID0731,2023-11-13,Burglary,Port Antonio, 2 
CID0244,2023-03-18,Burglary,Port Antonio, 3 
CID0631,2023-02-08,Fraud,Ocho Rios, 4 
CID0255,2023-09-28,Burglary,Port Antonio, 2 
CID0887,2023-09-18,Robbery,Port Antonio, 2 
CID0046,2023-04-22,Robbery,Ocho Rios, 2 
CID0245,2023-01-27,Fraud,Port Antonio, 4 
CID0132,2023-02-23,Fraud,Port Antonio, 4 
CID0727,2023-10-12,Burglary,Ocho Rios, 2 
CID0689,2023-11-10,Assault,Negril, 5 
CID0405,2023-11-01,Fraud,Negril, 20 
CID0158,2023-03-14,Homicide,Negril, 4 
CID0145,2023-07-07,Burglary,, 2 
CID0231,2023-05-17,Homicide,Montego Bay, 2 
CID0089,2023-05-25,Robbery,Montego Bay, 3 
CID0638,2023-08-16,Robbery,Ocho Rios, 4 
CID0288,2023-10-14,Fraud,Kingston, 5 
CID0320,2023-07-26,Assault,Negril, 4 
CID0848,2023-11-17,Homicide,Port Antonio, 5 
CID0661,2023-06-24,Burglary,Montego Bay, 3 
CID0976,2023-07-17,Assault,Ocho Rios, 3 
CID0619,2023-08-25,Assault,Negril, 1 
CID0618,2023-08-21,Burglary,Montego Bay, 3 
CID0267,2023-03-26,Homicide,Negril, 4 
CID0602,2023-02-28,Burglary,Port Antonio, 3 
CID0261,2023-01-06,Homicide,Kingston, 2 
CID0137,2023-09-08,Robbery,Montego Bay, 3 
CID0395,2023-05-14,Assault,Ocho Rios, 3 
CID0729,2023-12-10,Burglary,Ocho Rios, 5 
CID0290,2023-06-14,Fraud,Ocho Rios, 1 
CID0039,2023-05-03,Fraud,Negril, 4 
CID0764,2023-02-15,Fraud,Kingston, 4 
CID0949,2023-03-25,Burglary,Port Antonio, 4 
CID0335,2023-04-05,Homicide,Port Antonio, 1 
CID0295,2023-12-14,Assault,Port Antonio, 5 
CID0554,2023-02-06,Fraud,Ocho Rios, 1 
CID0825,2023-04-11,Fraud,Montego Bay, 3 
CID0321,2023-10-20,Fraud,Kingston, 2 
CID0831,2023-03-04,Burglary,Port Antonio, 2 
CID0613,2023-01-22,Assault,Ocho Rios, 1 
CID0240,2023-09-23,Burgulary,Negril, 3 
CID0187,2023-01-17,Burglary,Montego Bay, 5 
CID0155,2023-02-08,Assualt,Port Antonio, 3 
CID0672,2023-01-24,Fraud,Negril, 4 
CID0710,2023-03-08,Robbery,Montego Bay, 1 
CID0838,2023-01-05,Robbery,Ocho Rios, 3 
CID0608,2023-08-03,Homicide,Port Antonio, 5 
CID0012,2023-10-01,Homicide,Kingston, 3 
CID0830,2023-09-09,Homicide,Port Antonio, 38 
CID0530,2023-02-13,Robbery,Port Antonio, 1 
CID0611,2023-07-28,Burglary,Montego Bay, 1 
CID0117,2023-05-17,Fraud,Montego Bay, 3 
CID0266,2023-04-09,Homicide,Montego Bay, 2 
CID0602,2023-02-28,Burglary,Port Antonio, 3 
CID0338,2023-10-28,Assault,Port Antonio, 3 
CID0029,2023-01-24,Fraud,Port Antonio, 4 
CID0802,2023-08-20,Robbery,Ocho Rios, 2 
CID0885,2023-03-18,Robbery,Negril, 5 
CID0817,2023-10-01,Fraud,Port Antonio, 4 
CID0864,2023-05-15,Assault,Ocho Rios, 4 
CID0277,2023-04-13,Homicide,Ocho Rios, 2 
CID0077,2023-01-28,Burglary,Ocho Rios, 24 
CID0040,2023-04-28,Robbery,Negril, 5 
CID0292,2023-02-13,Burglary,Montego Bay, 3 
CID0774,2023-06-22,Robbery,Negril, 4 
CID0528,2023-01-09,Burglary,Montego Bay, 4 
CID0605,2023-08-10,Burglary,Port Antonio, 3 
CID0190,2023-10-03,Homicide,Kingston, 1 
CID0250,2023-06-26,Homicide,Negril, 1 
CID0777,2023-07-27,Robbery,Montego Bay, 1 
CID0946,2023-10-02,Homicide,Port Antonio, 3 
CID0680,2023-06-28,Assault,Port Antonio, 3 
CID0685,2023-08-28,Assault,Negril, 4 
CID0749,2023-05-26,Assault,Kingston, 1 
CID0372,2023-05-11,Robbery,Port Antonio, 2 
CID0192,2023-04-13,Assault,Montego Bay, 2 
CID0251,2023-01-12,Homicide,Kingston, 5 
CID0958,2023-11-26,Burglary,Ocho Rios, 4 
CID0160,2023-08-08,Assault,Port Antonio, 4 
CID0001,2023-11-04,Burglary,Port Antonio, 5 
CID0620,2023-01-07,Burglary,Port Antonio, 4 
CID0416,2023-01-24,Robbery,, 5 
CID0683,2023-06-21,Robbery,Ocho Rios, 2 
CID0527,2023-06-06,Robbery,Montego Bay, 2 
CID0126,2023-02-08,Robbery,Negril, 1 
CID0859,2023-05-20,Assault,Negril, 2 
CID0500,2023-12-15,Fraud,Kingston, 3 
CID0356,2023-09-18,Burgulary,Negril, 1 
CID0144,2023-08-26,Robbery,Kingston, 4 
CID0648,2023-12-10,Homicide,Negril, 4 
CID0003,2023-05-08,Robbery,Negril, 5 
CID0174,2023-07-23,Assault,Kingston, 2 
CID0606,2023-11-13,Fraud,Montego Bay, 3 
CID0435,2023-02-19,Assault,Negril, 2 
CID0140,2023-09-05,Burglary,Ocho Rios, 3 
CID0389,2023-07-28,Fraud,Kingston, 1 
CID0094,2023-12-24,Robbery,Ocho Rios, 1 
CID0753,2023-02-10,Robbery,Ocho Rios, 4 
CID0610,2023-06-04,Homicide,Kingston, 1 
CID0997,10/25/2023,Robbery,Negril,
CID0682,2023-09-13,Burglary,Ocho Rios,5
CID0569,2023-04-21,Assault,Montego Bay,5
CID0327,2023-12-06,Robbery,Port Antonio,3
CID0233,2023-01-03,Fraud,Ocho Rios,1
